Event No.; Task; Date; Account Name; Account Domain; Logon ID; Logon Type; Workstation Name; Logon Address; Logon Process
18;Logon;2014-06-24T14:10:19.959;Administrator;WIN-T6I0355NJEA;0x89c49;Interactive;WIN-T6I0355NJEA;-;Advapi
19;Logoff;2014-06-24T14:10:20.646;Administrator;WIN-T6I0355NJEA;0x89c49;Interactive;;;
20;Logon;2014-06-24T14:10:50.769;Administrator;WIN-T6I0355NJEA;0x8a6f3;Interactive;WIN-T6I0355NJEA;127.0.0.1;User32
35;Logon;2014-06-24T07:22:56.515;Administrator;WIN-T6I0355NJEA;0x322d3;Interactive;WIN-T6I0355NJEA;127.0.0.1;User32
37;Logon;2014-06-24T07:25:10.988;Administrator;WIN-T6I0355NJEA;0x6077f;Interactive;WIN-T6I0355NJEA;127.0.0.1;User32
48;Logon;2014-06-24T07:27:23.826;Administrator;WIN-T6I0355NJEA;0x2d50c;Interactive;WIN-T6I0355NJEA;127.0.0.1;User32
59;Logon;2014-06-24T17:40:31.899;Administrator;WIN-T6I0355NJEA;0x2d097;Interactive;WIN-T6I0355NJEA;127.0.0.1;User32
70;Logon;2016-12-20T00:26:36.520;Administrator;WIN-T6I0355NJEA;0x2d8e7;Interactive;WIN-T6I0355NJEA;127.0.0.1;User32
82;Logon;2016-12-20T00:31:18.366;Administrator;WIN-T6I0355NJEA;0x166b4;Interactive;WIN-T6I0355NJEA;127.0.0.1;User32
95;Logon;2017-02-23T02:52:36.349;Administrator;WIN-T6I0355NJEA;0x2cb85;Interactive;WIN-T6I0355NJEA;127.0.0.1;User32
109;Logon;2017-03-27T08:12:27.058;Administrator;WIN-T6I0355NJEA;0x2c095;Interactive;WIN-T6I0355NJEA;127.0.0.1;User32
329;Logon;2017-03-27T08:41:18.381;Administrator;OHMYAD;0x63087;Interactive;WIN-T6I0355NJEA;127.0.0.1;User32
1504;Logon;2017-03-27T12:35:28.620;Administrator;OHMYAD;0x38d70;Interactive;WIN-T6I0355NJEA;127.0.0.1;User32
1520;Logon;2017-03-27T12:38:38.941;Administrator;OHMYAD;0x4d7a3;Network;;192.168.20.151;Kerberos
1521;Logon;2017-03-27T12:38:38.956;Administrator;OHMYAD;0x4d7b1;Network;;192.168.20.151;Kerberos
1522;Logon;2017-03-27T12:38:38.972;Administrator;OHMYAD;0x4d7c4;Network;;192.168.20.151;Kerberos
1523;Logoff;2017-03-27T12:38:38.988;Administrator;OHMYAD;0x4d7b1;Network;;;
1524;Logon;2017-03-27T12:38:41.905;Administrator;OHMYAD;0x4d849;Network;;192.168.20.151;Kerberos
1525;Logoff;2017-03-27T12:38:42.014;Administrator;OHMYAD;0x4d849;Network;;;
1532;Logoff;2017-03-27T12:38:55.789;Administrator;OHMYAD;0x4d7a3;Network;;;
1534;Logon;2017-03-27T12:39:18.970;Administrator;OHMYAD;0x4ea10;Network;;192.168.20.150;Kerberos
1535;Logon;2017-03-27T12:39:18.986;Administrator;OHMYAD;0x4ea23;Network;;192.168.20.150;Kerberos
1536;Logon;2017-03-27T12:39:19.017;Administrator;OHMYAD;0x4ea36;Network;;192.168.20.150;Kerberos
1537;Logoff;2017-03-27T12:39:19.017;Administrator;OHMYAD;0x4ea23;Network;;;
1538;Logon;2017-03-27T12:39:19.267;Administrator;OHMYAD;0x4ea71;Network;;192.168.20.151;Kerberos
1540;Logoff;2017-03-27T12:39:19.282;Administrator;OHMYAD;0x4ea71;Network;;;
1541;Logon;2017-03-27T12:39:21.950;Administrator;OHMYAD;0x4eadc;Network;;192.168.20.150;Kerberos
1542;Logoff;2017-03-27T12:39:22.044;Administrator;OHMYAD;0x4eadc;Network;;;
1548;Logon;2017-03-27T12:39:26.146;Administrator;OHMYAD;0x4ebf3;Network;;192.168.20.150;Kerberos
1549;Logon;2017-03-27T12:39:26.162;Administrator;OHMYAD;0x4ec08;Network;;192.168.20.150;Kerberos
1550;Logoff;2017-03-27T12:39:26.162;Administrator;OHMYAD;0x4ebf3;Network;;;
1552;Logoff;2017-03-27T12:39:30.561;Administrator;OHMYAD;0x4d7c4;Network;;;
1626;Logoff;2017-03-27T12:41:42.382;Administrator;OHMYAD;0x4ea10;Network;;;
1640;Logon;2017-03-27T12:44:41.345;aduser01;OHMYAD;0x8a54d;Network;;192.168.20.151;Kerberos
1641;Logon;2017-03-27T12:44:41.376;aduser01;OHMYAD;0x8a566;Network;;192.168.20.151;Kerberos
1642;Logon;2017-03-27T12:44:43.311;aduser01;OHMYAD;0x8a57a;Network;;192.168.20.151;Kerberos
1644;Logon;2017-03-27T12:44:43.326;aduser01;OHMYAD;0x8a599;Network;;192.168.20.151;Kerberos
1646;Logoff;2017-03-27T12:44:44.091;aduser01;OHMYAD;0x8a57a;Network;;;
1651;Logon;2017-03-27T12:44:52.265;aduser02;OHMYAD;0x8a9f3;Network;;192.168.20.150;Kerberos
1652;Logon;2017-03-27T12:44:52.281;aduser02;OHMYAD;0x8aa0a;Network;;192.168.20.150;Kerberos
1653;Logoff;2017-03-27T12:44:53.404;aduser01;OHMYAD;0x8a566;Network;;;
1654;Logon;2017-03-27T12:44:53.903;aduser02;OHMYAD;0x8aa1f;Network;;192.168.20.150;Kerberos
1655;Logon;2017-03-27T12:44:53.919;aduser02;OHMYAD;0x8aa2f;Network;;192.168.20.150;Kerberos
1657;Logoff;2017-03-27T12:44:53.934;aduser02;OHMYAD;0x8aa2f;Network;;;
1658;Logoff;2017-03-27T12:44:54.761;aduser02;OHMYAD;0x8aa1f;Network;;;
1670;Logoff;2017-03-27T12:45:02.857;aduser02;OHMYAD;0x8aa0a;Network;;;
1672;Logoff;2017-03-27T12:45:15.899;aduser01;OHMYAD;0x8a54d;Network;;;
1673;Logoff;2017-03-27T12:45:17.397;aduser01;OHMYAD;0x8a599;Network;;;
1677;Logoff;2017-03-27T12:46:26.942;aduser02;OHMYAD;0x8a9f3;Network;;;
2273;Logon;2017-03-27T14:35:54.772;aduser02;OHMYAD;0x1a3bd7;Network;;192.168.20.150;Kerberos
2274;Logon;2017-03-27T14:35:55.661;aduser02;OHMYAD;0x1a3bed;Network;;192.168.20.150;Kerberos
2278;Logoff;2017-03-27T14:35:56.191;aduser02;OHMYAD;0x1a3bed;Network;;;
2285;Logoff;2017-03-27T14:37:24.784;aduser02;OHMYAD;0x1a3bd7;Network;;;
2290;Logon;2017-03-27T14:38:46.465;aduser01;OHMYAD;0x1a5f8a;Network;;192.168.20.151;Kerberos
2291;Logon;2017-03-27T14:38:46.980;aduser01;OHMYAD;0x1a5f9d;Network;;192.168.20.151;Kerberos
2292;Logon;2017-03-27T14:38:47.089;aduser01;OHMYAD;0x1a5fad;Network;;192.168.20.151;Kerberos
2294;Logoff;2017-03-27T14:38:47.089;aduser01;OHMYAD;0x1a5fad;Network;;;
2295;Logoff;2017-03-27T14:38:47.604;aduser01;OHMYAD;0x1a5f9d;Network;;;
2296;Logoff;2017-03-27T14:39:16.480;aduser01;OHMYAD;0x1a5f8a;Network;;;
2299;Logoff;2017-03-27T14:39:32.220;Administrator;OHMYAD;0x4ea36;Network;;;
2300;Logoff;2017-03-27T14:39:36.464;Administrator;OHMYAD;0x4ec08;Network;;;
2798;Logon;2017-03-27T16:16:56.193;aduser02;OHMYAD;0x1ffa7b;Network;;192.168.20.150;Kerberos
2800;Logon;2017-03-27T16:16:56.817;aduser02;OHMYAD;0x1ffa9e;Network;;192.168.20.150;Kerberos
2802;Logon;2017-03-27T16:16:56.833;aduser02;OHMYAD;0x1ffabd;Network;;192.168.20.150;Kerberos
2805;Logoff;2017-03-27T16:16:57.348;aduser02;OHMYAD;0x1ffa9e;Network;;;
2812;Logoff;2017-03-27T16:17:32.869;aduser02;OHMYAD;0x1ffabd;Network;;;
2902;Logon;2017-03-27T16:35:46.166;aduser01;OHMYAD;0x210920;Network;;192.168.20.151;Kerberos
2909;Logon;2017-03-27T16:35:46.681;aduser01;OHMYAD;0x210ada;Network;;192.168.20.151;Kerberos
2910;Logon;2017-03-27T16:35:46.774;aduser01;OHMYAD;0x210aea;Network;;192.168.20.151;Kerberos
2911;Logon;2017-03-27T16:35:46.790;aduser01;OHMYAD;0x210af9;Network;;192.168.20.151;Kerberos
2912;Logoff;2017-03-27T16:35:46.790;aduser01;OHMYAD;0x210aea;Network;;;
